"Condition","Month","iMOs","iORB","iPL","iAOB","iMOB","cMOs","cORB","cPL","cAOB","cMOB","iACA","iMOp","iSSp-m","iSSs","iGU","iAI","iCLA","iEPd","iPIR","iCP","iLS","iMS","iACB","iSI","iOT","cACA","cMOp","cSSp-m","cSSs","cGU","cAI","cCLA","cEPd","cPIR","cCP","cLS","cMS","cACB","cSI","cOT","iRSP","iSSp-bfd","iVISC","iAIp","iEP","iCA1","iCA2","iCA3","iDG","iLD","iMD","iVAL","iSMT","iHY","iGP","iCEA","iBLAa","iMEA","iBMA","iCOAa","cRSP","cSSp-bfd","cVISC","cAIp","cEP","cCA1","cCA2","cCA3","cDG","cLD","cMD","cVAL","cSMT","cHY","cGP","cCEA","cBLAa","cMEA","cBMA","cCOAa","iVISa","iAUD","iTEa","iECT","iPERI","iENTl","iBLAp","iTR","iCOAp","iSUB","iPT","iPAG","iDpM","iTHp","iZI","iVTA","iSN","iSUM","iMM","cVISa","cAUD","cTEa","cECT","cPERI","cENTl","cBLAp","cTR","cCOAp","cSUB","cPT","cPAG","cDpM","cTHp","cZI","cVTA","cSN","cSUM","cMM","iVISp","iSC","iMRN","iIP","cVISp","cSC","cMRN","cIP","iPAR","iPRE","iPOST","iPRN","cPAR","cPRE","cPOST","cPRN"
"NTG",1,"0.0017511630","0.0009124150","0.0000000000","0.0134889300","0.0032897700","0.0012693470","0.0060942500","0.0000000000","0.0041440950","0.0011400510","0.0000984550","0.0009460200","0.0003388950","0.0005088270","0.0045019420","0.0024358150","0.0000000000","0.0038553450","0.0002317180","0.0025463450","0.0021824250","0.0026533870","0.0003851820","0.0000000000","0.0004558410","0.0011547530","0.0007634800","0.0012768930","0.0004851760","0.0005053250","0.0000000000","0.0066094000","0.0000000000","0.0007245420","0.0023563570","0.0003796920","0.0000000000","0.0013214940","0.0001754580","0.0001203760","0.0035287590","0.0004450350","0.0000000000","0.0000000000","0.0000000000","0.0019774850","0.0085381000","0.0426179430","0.0212881340","0.0022476900","0.0019249150","0.0065340500","0.0090959600","0.0032414770","0.0213195500","0.0007984920","0.0007810500","0.0004581120","0.0000000000","0.0000000000","0.0009885350","0.0005164780","0.0000000000","0.0000000000","0.0000000000","0.0008772140","0.0009970100","0.0001046300","0.0006303460","0.0006569200","0.0011210780","0.0068480200","0.0006895050","0.0016134340","0.0045874420","0.0014986460","0.0000000000","0.0000000000","0.0000000000","0.0001581690","0.0009790500","0.0014764810","0.0000000000","0.0000000000","0.0002145850","0.0004118660","0.0002842840","0.0000000000","0.0001693400","0.0023759430","0.0000000000","0.0026531220","0.0023227190","0.0008119510","0.0006309300","0.0026540830","0.0011413500","0.0028225100","0.0015537300","0.0003237140","0.0002775130","0.0000000000","0.0020176900","0.0006905750","0.0002159540","0.0005600000","0.0000000000","0.0006285000","0.0013267690","0.0003607250","0.0014813420","0.0018969660","0.0005977380","0.0000000000","0.0012767630","0.0021829200","0.0000000000","0.0103939500","0.0000687887","0.0008180920","0.0016962590","0.0000000000","0.0002784990","0.0001737800","0.0014953170","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0028398950","0.0002826550","0.0006907200","0.0001521560","0.0007400230"
"NTG",1,"0.000828428","0.000456207","0.000000000","0.001383200","0.000725335","0.001241383","0.000537930","0.000000000","0.000753010","0.001512175","0.000585245","0.000000000","0.000644768","0.000630218","0.000000000","0.000113123","0.000000000","0.000000000","0.000037355","0.002609154","0.002592783","0.000491359","0.000482168","0.000000000","0.000000000","0.000000000","0.000085694","0.004291070","0.000460058","0.004412845","0.000000000","0.000000000","0.000000000","0.000633721","0.001789571","0.001330583","0.003885810","0.000176172","0.000175457","0.000000000","0.001630824","0.001182945","0.000189000","0.000222557","0.002540000","0.000490108","0.000000000","0.012969645","0.005082946","0.000835000","0.001713990","0.004483118","0.002598180","0.000067500","0.010331150","0.000000000","0.000000000","0.000867330","0.002025000","0.000000000","0.001803796","0.000630000","0.000461590","0.000000000","0.000606250","0.000223988","0.001537515","0.000224826","0.001619387","0.000515000","0.000763984","0.003406060","0.001278990","0.000810000","0.001915470","0.000150000","0.000000000","0.000174000","0.000000000","0.000000000","0.000811984","0.000333450","0.000000000","0.000000000","0.000000000","0.002363408","0.012119600","0.000000000","0.000270794","0.008959300","0.000000000","0.002608600","0.003821535","0.002886545","0.001804910","0.001244490","0.000926221","0.000000000","0.000418977","0.000360777","0.000000000","0.000000000","0.000000000","0.000000000","0.000182968","0.000000000","0.000000000","0.001517335","0.001929805","0.000000000","0.002586855","0.001145534","0.002518781","0.001534315","0.001852088","0.001143186","0.000218670","0.001747305","0.000514893","0.000147644","0.002147068","0.000000000","0.000340296","0.000382974","0.002092948","0.000000000","0.000000000","0.000000000","0.001779395","0.002697260","0.000000000","0.001046585","0.000000000","0.002332170"
"NTG",1,"0.0001405780","0.0008034280","0.0006603050","0.0010378900","0.0013680450","0.0015122770","0.0000000000","0.0000000000","0.0000000000","0.0013301950","0.0134561550","0.0000983115","0.0021052500","0.0000000000","0.0000000000","0.0001282620","0.0000000000","0.0000000000","0.0000000000","0.0012499040","0.0006179020","0.0001748370","0.0000000000","0.0003282290","0.0002378730","0.0035318850","0.0013259200","0.0000374889","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0004153470","0.0021815730","0.0002778060","0.0000000000","0.0064221500","0.0000000000","0.0006230410","0.0025205520","0.0000948495","0.0000000000","0.0028737150","0.0000000000","0.0015321550","0.0100009750","0.0183956330","0.0134332950","0.0230856000","0.0000730000","0.0025275050","0.0008665040","0.0000000000","0.0007291050","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0005074420","0.0020608520","0.0000000000","0.0000000000","0.0000000000","0.0006534280","0.0000000000","0.0000616600","0.0006890880","0.0000000000","0.0000000000","0.0009159810","0.0000000000","0.0002435530","0.0000000000","0.0008994200","0.0000000000","0.0001678840","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0006524300","0.0001786790","0.0000000000","0.0000000000","0.0060182000","0.0000000000","0.0007648930","0.0014260650","0.0022039800","0.0004134560","0.0004182390","0.0035052100","0.0587899000","0.0000000000","0.0007642850","0.0000000000","0.0004576500","0.0000000000","0.0000000000","0.0000772952","0.0031739550","0.0000000000","0.0000000000","0.0003518600","0.0000000000","0.0015048100","0.0009137550","0.0012977520","0.0000000000","0.0008053690","0.0000590000","0.0003818240","0.0007161250","0.0002949690","0.0003154300","0.0006673450","0.0000000000","0.0003047250","0.0001102500","0.0004601330","0.0000000000","0.0048700000","0.0000000000","0.0059000000","0.0016150000","0.0000000000","0.0000000000","0.0000000000","0.0006283000"
"NTG",1,"0.0016562050","0.0002156940","0.0000000000","0.0000000000","0.0020825500","0.0001599770","0.0019229600","0.0000000000","0.0000000000","0.0008375540","0.0030250000","0.0000965000","0.0009655000","0.0005788330","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000557332","0.0004827240","0.0004525000","0.0001860000","0.0000000000","0.0000000000","0.0021035000","0.0035500000","0.0009330000","0.0000737500","0.0024869750","0.0000000000","0.0001560000","0.0000000000","0.0000000000","0.0001807170","0.0022896580","0.0038620000","0.0000000000","0.0005625000","0.0001755000","0.0000000000","0.0020359810","0.0003142080","0.0003826500","0.0000000000","0.0000000000","0.0002817120","0.0155699980","0.0281615220","0.0040691250","0.0007000800","0.0004394000","0.0014513600","0.0009744270","0.0017137450","0.0010938500","0.0000000000","0.0000000000","0.0000000000","0.0023628200","0.0000000000","0.0007106960","0.0003168910","0.0001675810","0.0000000000","0.0000000000","0.0003305870","0.0021724530","0.0014635000","0.0002235030","0.0005027550","0.0000699555","0.0008690870","0.0010872550","0.0000000000","0.0090166540","0.0004496970","0.0002106130","0.0000000000","0.0000000000","0.0007448950","0.0007576670","0.0000000000","0.0000000000","0.0000000000","0.0009067430","0.0015145570","0.0001046150","0.0000000000","0.0000000000","0.0142025070","0.0034090650","0.0004289540","0.0005265250","0.0003539060","0.0003026640","0.0022789660","0.0013176040","0.0000000000","0.0000000000","0.0001885430","0.0001662940","0.0000000000","0.0000000000","0.0000000000","0.0001648800","0.0000000000","0.0000000000","0.0000000000","0.0002015730","0.0000000000","0.0010188320","0.0019021000","0.0006498520","0.0000000000","0.0010348790","0.0001422220","0.0000000000","0.0000000000","0.0009734480","0.0002229240","0.0009841310","0.0000000000","0.0006153440","0.0001437360","0.0006279100","0.0000000000","0.0000000000","0.0000000000","0.0075428000","0.0011004800","0.0001390000","0.0000000000","0.0000000000","0.0014230650"
"G20",1,"0.0002833730","0.0007036300","0.0000000000","0.0010375600","0.0035961250","0.0015630050","0.0000620215","0.0000000000","0.0000000000","0.0001921480","0.0006949550","0.0011974710","0.0001970810","0.0004941750","0.0000000000","0.0017474150","0.0000000000","0.0000000000","0.0002794200","0.0083509570","0.0000000000","0.0000000000","0.0000796225","0.0047719350","0.0002637400","0.0000000000","0.0015499850","0.0012025150","0.0000498880","0.0000000000","0.0008094900","0.0000000000","0.0000000000","0.0000384203","0.0006950040","0.0002663400","0.0000000000","0.0000000000","0.0000000000","0.0002370110","0.0090278990","0.0015580070","0.0000000000","0.0000000000","0.0000000000","0.0015351950","0.0126500000","0.0358715170","0.0040494630","0.0035414050","0.0010900000","0.0061263900","0.0008780350","0.0002130290","0.0067455150","0.0000000000","0.0000000000","0.0006183850","0.0000000000","0.0000000000","0.0003963300","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0008776500","0.0000000000","0.0020872770","0.0000000000","0.0015650000","0.0000000000","0.0019731700","0.0001072190","0.0009250000","0.0007153870","0.0010500000","0.0000000000","0.0000000000","0.0020550000","0.0000000000","0.0001652500","0.0000572500","0.0000000000","0.0000000000","0.0000000000","0.0001194920","0.0000000000","0.0000000000","0.0000000000","0.0631323250","0.0000000000","0.0005866670","0.0002699570","0.0004491000","0.0042865300","0.0005819520","0.0005062380","0.0654402000","0.0009850000","0.0004945000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0003795030","0.0000000000","0.0000000000","0.0000000000","0.0000555000","0.0000000000","0.0003104750","0.0000338500","0.0000000000","0.0000000000","0.0001151190","0.0004801730","0.0035631200","0.0000000000","0.0002857650","0.0003822000","0.0004830780","0.0000000000","0.0001014340","0.0004033960","0.0003736890","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0009387330","0.0002310240","0.0000000000","0.0000000000","0.0005556540"
"G20",1,"0.0003571300","0.0000853685","0.0000000000","0.0000000000","0.0003983060","0.0007502190","0.0000000000","0.0000000000","0.0019950000","0.0017304650","0.0012754400","0.0001364040","0.0007289640","0.0000000000","0.0000000000","0.0025684790","0.0000000000","0.0048217090","0.0009318230","0.0153413370","0.0005332900","0.0003217130","0.0010615420","0.0007136450","0.0006799650","0.0002734120","0.0002449570","0.0001993630","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0001353790","0.0014457960","0.0002207170","0.0000000000","0.0006265630","0.0000000000","0.0008908930","0.0121063750","0.0014208200","0.0036334550","0.0000000000","0.0002823190","0.0042932650","0.0116877330","0.0305950170","0.0404484830","0.0027945850","0.0002586550","0.0024203100","0.0000000000","0.0000700140","0.0027982850","0.0012004400","0.0000000000","0.0001861010","0.0000000000","0.0008827550","0.0004783210","0.0005538210","0.0000000000","0.0000000000","0.0000000000","0.0025963930","0.0036227250","0.0000189717","0.0009239230","0.0000000000","0.0006251350","0.0023252150","0.0005583450","0.0007853150","0.0014838350","0.0000000000","0.0000000000","0.0006265900","0.0000000000","0.0000000000","0.0027306850","0.0003329240","0.0005575000","0.0000000000","0.0032190500","0.0003232090","0.0120175750","0.0000000000","0.0006634730","0.0686856000","0.0000000000","0.0024073870","0.0042286450","0.0059282670","0.0080949550","0.0022014890","0.0015778400","0.0065620550","0.0001670610","0.0003963720","0.0010826090","0.0000000000","0.0000000000","0.0014733450","0.0004647980","0.0000000000","0.0000000000","0.0000000000","0.0004914830","0.0003139310","0.0018991370","0.0021756750","0.0003741750","0.0004753080","0.0011430000","0.0007327940","0.0017673100","0.0006690250","0.0026808080","0.0001595000","0.0003196650","0.0000000000","0.0002328090","0.0002202500","0.0002785000","0.0000000000","0.0000000000","0.0002920000","0.0025623950","0.0011050000","0.0000000000","0.0000000000","0.0000000000","0.0017946320"
"G20",1,"0.0004132790","0.0008550000","0.0000000000","0.0034600000","0.0029770000","0.0000000000","0.0007650000","0.0000000000","0.0003985000","0.0011385000","0.0000986005","0.0028158050","0.0006136850","0.0006898910","0.0000000000","0.0002545270","0.0000000000","0.0000000000","0.0022721940","0.0017182100","0.0001005520","0.0009167750","0.0006502550","0.0000000000","0.0003224560","0.0000000000","0.0000000000","0.0000699430","0.0002352570","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0008765380","0.0021070820","0.0000000000","0.0000000000","0.0006799900","0.0000000000","0.0000000000","0.0026130260","0.0039884050","0.0006943290","0.0000000000","0.0000000000","0.0011158380","0.0171993850","0.0290472670","0.0146099430","0.0000000000","0.0029633100","0.0009597560","0.0000000000","0.0003502820","0.0042305200","0.0000000000","0.0000000000","0.0009084850","0.0000000000","0.0000000000","0.0005502610","0.0002176930","0.0003519870","0.0000000000","0.0000000000","0.0013537670","0.0002563450","0.0010743730","0.0000000000","0.0000000000","0.0000000000","0.0005942210","0.0000987710","0.0005474210","0.0003576570","0.0004496150","0.0000000000","0.0008310010","0.0000000000","0.0000000000","0.0002734190","0.0000000000","0.0002773830","0.0000000000","0.0000000000","0.0001197460","0.0000000000","0.0000000000","0.0000000000","0.0180745300","0.0035700000","0.0019766050","0.0021810050","0.0004081300","0.0013523500","0.0016509130","0.0053837860","0.0710428000","0.0000000000","0.0001300000","0.0005829640","0.0000000000","0.0000000000","0.0000000000","0.0006137760","0.0000000000","0.0000000000","0.0003678820","0.0005188930","0.0003138440","0.0017394880","0.0013255350","0.0050856350","0.0000000000","0.0009500150","0.0018185580","0.0012375600","0.0006041550","0.0007820060","0.0005553430","0.0026216830","0.0000000000","0.0002454250","0.0007489690","0.0010773290","0.0000000000","0.0012816200","0.0000000000","0.0097247750","0.0036652610","0.0003297740","0.0000000000","0.0010996530","0.0013111290"
"NTG",3,"0.0029392500","0.0017837100","0.0000000000","0.0000000000","0.0005228470","0.0024100400","0.0136679500","0.0000000000","0.0000000000","0.0007454500","0.0059414670","0.0027390950","0.0000336725","0.0000000000","0.0000000000","0.0002887280","0.0000000000","0.0000000000","0.0000545817","0.0001232300","0.0193016000","0.0326453000","0.0003109770","0.0019197100","0.0000000000","0.0002500680","0.0039474070","0.0011345890","0.0000000000","0.0004515940","0.0000000000","0.0000000000","0.0000000000","0.0013787420","0.0015453130","0.0043729850","0.0217044050","0.0021992850","0.0186190000","0.0000000000","0.0172040100","0.0004867440","0.0002386680","0.0000000000","0.0000000000","0.0374238390","1.4375062200","1.7027750000","5.3866516670","0.0003875000","0.0000000000","0.0003221560","0.0014077320","0.0013012600","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0008507230","0.0005926660","0.0000000000","0.0000000000","0.0000000000","0.0014560380","0.0000000000","0.0206737340","0.0058911030","0.0000000000","0.0005299750","0.0008854050","0.0004920910","0.0006745550","0.0000000000","0.0000000000","0.0000000000","0.0005232450","0.0011411400","0.0000000000","0.0004250690","0.0005905130","0.0000000000","0.0002203580","0.0406044080","0.0393422720","0.0016698330","0.0000000000","0.0000000000","0.0927004750","0.0000000000","0.0013733890","0.0009722650","0.0028979460","0.0000000000","0.0426037050","0.0000000000","1.2026565000","0.0007683500","0.0001321840","0.0019838320","0.0000000000","0.0002623500","0.0000000000","0.0004861480","0.0000000000","0.0000000000","0.0001832590","0.0007581120","0.0000000000","0.0001293750","0.0000461972","0.0006504430","0.0000000000","0.0516772830","0.0009828560","0.2211860000","0.0000000000","0.0017880610","0.0001093950","0.0017785450","0.0043183350","0.0005072380","0.0005082010","0.0005333500","0.0000000000","0.0012976900","0.0042046710","0.1022121950","0.0032912700","0.0006464440","0.0002679440","0.0000000000","0.0005424250"
"NTG",3,"0.0018920280","0.0026367290","0.0000000000","0.0021407050","0.0016335700","0.0038372110","0.0002688610","0.0000000000","0.0000000000","0.0003378750","0.0008415840","0.0012629050","0.0006398160","0.0025843000","0.0000000000","0.0012071150","0.0000000000","0.0000000000","0.0011942370","0.0005172400","0.0329476000","0.0777623250","0.0010575980","0.0007940600","0.0011410200","0.0001407990","0.0022966200","0.0014065600","0.0000311645","0.0004397270","0.0000000000","0.0000000000","0.0024924000","0.0001160100","0.0004935720","0.0134506350","0.0135626200","0.0000424387","0.0011907550","0.0003468330","0.0061227570","0.0000719520","0.0002269950","0.0000000000","0.0000000000","0.0063080380","0.0260722000","0.5016811500","3.8613563670","0.0067874960","0.0080171200","0.0005337110","0.0011912450","0.0054693000","0.0001292510","0.0027939850","0.0000000000","0.0016400550","0.0000000000","0.0000000000","0.0023110000","0.0004198110","0.0013679150","0.0000000000","0.0000000000","0.0008998400","0.0000000000","0.0923649650","0.0013325340","0.0006556250","0.0000000000","0.0010119010","0.0000000000","0.0000000000","0.0000000000","0.0002997550","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0026156370","0.0004033830","0.0019651000","0.0032217000","0.0011579430","0.0709567870","0.0006754840","0.0056577000","0.0075891000","0.0728237280","0.0035370200","0.0000000000","0.0002027140","0.0058713630","0.0174968500","0.0040382360","0.0000000000","0.6272180000","0.0000000000","0.0046415650","0.0001216130","0.0063434900","0.0000000000","0.0002739900","0.0031783190","0.0000000000","0.0000000000","0.0000000000","0.0010738730","0.0000000000","0.0008602990","0.0005180570","0.0008945880","0.0000000000","0.0289842440","0.0007207250","0.2874920000","0.0000000000","0.0037937400","0.0021338890","0.0011233000","0.0000000000","0.0036593210","0.0013260190","0.0014640100","0.0000000000","0.0020892350","3.6323650000","0.2472460620","0.0020916750","0.0012547670","0.0000000000","0.0020072350","0.0017119150"
"NTG",3,"0.0018208750","0.0063937400","0.0000000000","0.0000000000","0.0018416240","0.0000000000","0.0032205300","0.0018134350","0.0000000000","0.0015294450","0.0235586500","0.0001166030","0.0003103020","0.0001705030","0.0014025650","0.0000000000","0.0000000000","0.0000000000","0.0006560010","0.0041557150","0.0051388200","0.0174225500","0.0003456140","0.0000000000","0.0000000000","0.0135782080","0.0000000000","0.0035157600","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0004341900","0.0001532960","0.0012651750","0.0073355200","0.0007094400","0.0000000000","0.0000975060","0.0073262080","0.0009257400","0.0001085120","0.0000000000","0.0041127950","0.0577388920","0.1715104550","0.6115041670","3.9939043330","0.0016441650","0.0000776485","0.0004599020","0.0002170560","0.0044509750","0.0003335080","0.0000000000","0.0000000000","0.0004302840","0.0000000000","0.0005012650","0.0013272790","0.0036594950","0.0001312890","0.0007469960","0.0000000000","0.0011998610","0.0021421080","0.0428112500","0.0045233050","0.0008269150","0.0000000000","0.0012221900","0.0018942000","0.0007231770","0.0000000000","0.0002997710","0.0000000000","0.0000000000","0.0000000000","0.0002412300","0.0006047700","0.0002550410","0.0065848500","0.0027148900","0.0032962950","0.0042503240","0.0044100500","0.0063747000","0.0013455620","0.0559313250","0.0000000000","0.0001049480","0.0021447770","0.0002366480","0.0093794300","0.0056165110","0.0011758350","0.6659975000","0.0026802800","0.0002543530","0.0007483450","0.0000000000","0.0000000000","0.0000000000","0.0008818240","0.0001424440","0.0000000000","0.0000000000","0.0006656230","0.0000000000","0.0005092010","0.0003245260","0.0004666480","0.0021527600","0.0004231240","0.0002934290","0.4817820000","0.0001806130","0.0046812840","0.0014592530","0.0033922240","0.0000000000","0.0056534780","0.0085262850","0.0004982020","0.0000000000","0.0058531500","0.0068097000","0.0520975000","0.0017659560","0.0018527000","0.0018654400","0.0012296950","0.0002115900"
"NTG",3,"6.282334e-03","2.339020e-04","2.622900e-03","3.458700e-03","8.905600e-04","3.319680e-04","3.901380e-05","4.816030e-03","0.000000e+00","1.296845e-03","5.596140e-03","7.797400e-03","7.648610e-04",NA,"0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00",NA,"1.708681e-03","1.871942e-02","5.473003e-02","2.236300e-04","1.358585e-03","0.000000e+00","6.217050e-04","1.156755e-02","8.846600e-04","1.044661e-03","1.496280e-02","1.476120e-04","2.234015e-03","4.814310e-04","5.175328e-03","8.282190e-04","6.328545e-03","3.494980e-02","1.346256e-03","0.000000e+00","2.312465e-03","7.580955e-02","6.269620e-03","0.000000e+00","0.000000e+00","0.000000e+00","5.549464e-01","3.397148e-01","2.888761e+00","1.328427e+01","2.597070e-04","2.145795e-03","9.977740e-04","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.038846e-03","6.321230e-04","3.008910e-04","2.920290e-04","0.000000e+00","1.059895e-03","0.000000e+00","4.663747e-02","7.700959e-03","0.000000e+00","9.118950e-04","4.215920e-05","0.000000e+00","0.000000e+00","0.000000e+00","4.260600e-04","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00",NA,NA,NA,NA,"4.635847e+00","0.000000e+00","0.000000e+00","0.000000e+00","8.138253e-03","0.000000e+00","8.687060e-04","9.272420e-04","2.236013e-03","0.000000e+00","4.100187e-03","1.139258e-02","2.559180e-01","2.864810e-02","9.988600e-04","3.903062e-03","2.430055e-03","0.000000e+00","0.000000e+00","1.588810e-03","0.000000e+00","0.000000e+00","0.000000e+00","3.787530e-05","0.000000e+00","5.075230e-04","5.025450e-04","2.297461e-03","1.196005e-02","1.388653e-02","9.428620e-04","6.727125e-02","6.917780e-03","4.428200e-02","1.277280e-04","1.765451e-03","0.000000e+00","8.877700e-04","2.008774e-03","9.247330e-04","0.000000e+00","4.278867e-02","6.429850e-03","6.613124e+00","3.554453e-03","1.536530e-04","5.444150e-04","0.000000e+00","7.153050e-04"
"NTG",3,"0.0032543050","0.0020171000","0.0019767550","0.0000000000","0.0052943850","0.0066215150","0.0062527250","0.0407498000","0.0022604300","0.0026625700","0.0002651370","0.0010064310","0.0002056650","0.0003865470","0.0011061400","0.0000000000","0.0000000000","0.0000000000","0.0074256170","0.0326653660","0.0039110450","0.0271263200","0.0001394190","0.0007042430","0.0034817450","0.0000000000","0.0061387500","0.0005803690","0.0000260955","0.0000000000","0.0005852550","0.0000000000","0.0000000000","0.0004957650","0.0004248150","0.0015114850","0.0122907050","0.0003113670","0.0001619660","0.0026410850","0.0157377690","0.0014493270","0.0001108710","0.0004837580","0.0000000000","0.2865492430","0.6557061780","1.3648016670","6.7117617430","0.0000000000","0.0006734350","0.0000000000","0.0033814300","0.0002905290","0.0019338650","0.0004458160","0.0000000000","0.0000000000","0.0014820750","0.0261818000","0.0035892910","0.0036250580","0.0000000000","0.0000000000","0.0000000000","0.0022531100","0.0000000000","0.0065566100","0.1252971460","0.0006307750","0.0006981200","0.0010002280","0.0000000000","0.0000592130","0.0000000000","0.0000000000","0.0000000000","0.0051930000","0.0000000000","0.0002015500","0.0281940500","0.0072945730","0.0164821830","0.0337487000","0.0733077500","0.2431519830","0.0198709000","0.0075885150","0.0026986750","0.0282076030","0.0020323450","0.0031776440","0.0005301150","0.0031914210","0.1354372850","0.0055510400","0.0009161920","5.4639100000","0.1410827750","0.0069826000","0.0038281350","0.0018875000","0.0046425250","0.0055975000","0.0015536200","0.0125296500","0.0000000000","0.0103595550","0.0005547500","0.0212018000","0.0223396250","0.0038559550","0.0013746080","0.0000000000","0.0006041020","0.0018150000","0.5733435000","0.0991185650","0.0171437430","0.0016008790","0.0057010380","0.0000000000","0.0035222340","0.0025238100","0.0017734120","0.0000000000","0.0003870320","0.0050328200","0.0010841830","0.0042847300","0.0022881550","0.0013867150","0.0007947350","0.0018479550"
"NTG",3,"0.004515948","0.000539367","0.030783800","0.005186800","0.005404715","0.015132773","0.005677700","0.018230500","0.000376736","0.001588347","0.008394845","0.000146956","0.000816680","0.000567135","0.000000000","0.000000000","0.000000000","0.000000000","0.002730567","0.014934699","0.014572405","0.057079400","0.002877773","0.005304332","0.006058770","0.001762395","0.004393625","0.003001175","0.001334108","0.000454542","0.000000000","0.000000000","0.000000000","0.001199727","0.000540129","0.004212445","0.016411100","0.001666170","0.000603715","0.004865509","0.087215703","0.002143625","0.005896650","0.004194985","0.005087735","0.180377405","0.439266000","3.201996333","7.133329050","0.000248841","0.002143091","0.000640159","0.000324888","0.006914410","0.001490500","0.000199588","0.005466015","0.017995105","0.000675095","0.008788400","0.000969915","0.000799188","0.000000000","0.000000000","0.000000000","0.003661187","0.000000000","0.010026735","0.002778153","0.002363130","0.000351751","0.000577266","0.004922375","0.003473830","0.003913960","0.000000000","0.000596940","0.001421640","0.000228177","0.000870710","0.016230905","0.005385178","0.043234158","0.066280818","0.133738775","0.967075000","0.012632600","0.036985050","0.009993645","0.250447975","0.000466423","0.001133795","0.005411765","0.001805323","0.008294850","0.000942815","0.000902643","1.739462000","0.004143080","0.003450746","0.002952149","0.001093900","0.000288908","0.000289078","0.001343942","0.000236598","0.000736265","0.000593650","0.000000000","0.000000000","0.001071623","0.000176868","0.000547688","0.000000000","0.015349960","0.000655093","0.805485000","0.003043915","0.086354372","0.000632043","0.001314589","0.073041500","0.001391813","0.000882788","0.004627519","0.000000000","0.021362500","0.032865750","0.025024800","0.008232435","0.001562580","0.003415000","0.003318765","0.006356805"
