"Condition","Month","iMOs","iORB","iPL","iAOB","iMOB","cMOs","cORB","cPL","cAOB","cMOB","iACA","iMOp","iSSp-m","iSSs","iGU","iAI","iCLA","iEPd","iPIR","iCP","iLS","iMS","iACB","iSI","iOT","cACA","cMOp","cSSp-m","cSSs","cGU","cAI","cCLA","cEPd","cPIR","cCP","cLS","cMS","cACB","cSI","cOT","iRSP","iSSp-bfd","iVISC","iAIp","iEP","iCA1","iCA2","iCA3","iDG","iLD","iMD","iVAL","iSMT","iHY","iGP","iCEA","iBLAa","iMEA","iBMA","iCOAa","cRSP","cSSp-bfd","cVISC","cAIp","cEP","cCA1","cCA2","cCA3","cDG","cLD","cMD","cVAL","cSMT","cHY","cGP","cCEA","cBLAa","cMEA","cBMA","cCOAa","iVISa","iAUD","iTEa","iECT","iPERI","iENTl","iBLAp","iTR","iCOAp","iSUB","iPT","iPAG","iDpM","iTHp","iZI","iVTA","iSN","iSUM","iMM","cVISa","cAUD","cTEa","cECT","cPERI","cENTl","cBLAp","cTR","cCOAp","cSUB","cPT","cPAG","cDpM","cTHp","cZI","cVTA","cSN","cSUM","cMM","iVISp","iSC","iMRN","iIP","cVISp","cSC","cMRN","cIP","iPAR","iPRE","iPOST","iPRN","cPAR","cPRE","cPOST","cPRN"
"NTG",3,"0.007007378","0.003965425","0.000000000","0.000000000","0.003246460","0.003988578","0.000295280","0.001621325","0.000000000","0.001712807","0.000314792","0.000591788","0.000270644","0.001831053","0.000280200","0.000139360","0.004528985","0.037199320","0.001240783","0.005274866","0.003079645","0.030634500","0.002885601","0.000655750","0.001180240","0.000983824","0.001675150","0.000224262","0.007594788","0.000000000","0.003287020","0.001467955","0.001664505","0.000770383","0.001870245","0.003335765","0.007494045","0.000726995","0.000154169","0.012049772","0.042810623","0.005316700","0.000484377","0.000000000","0.000000000","0.031317105","0.063428900","0.447811550","0.757200200","0.001544096","0.000740245","0.002166680","0.000433238","0.003515320","0.001588470","0.000598755","0.000624926","0.004259710","0.000000000","0.000501800","0.005038684","0.008189335","0.001768980","0.000979685","0.003352970","0.001542399","0.000261820","0.017377410","0.001680699","0.000406657","0.001407539","0.000807475","0.001279538","0.000447574","0.001037885","0.000749010","0.000795590","0.000000000","0.000000000","0.001749250","0.015016800","0.008901978","0.010736773","0.001793830","0.000519978","0.033659745","0.001930405","0.011984450","0.002509625","0.217594250","0.006328200","0.001850602","0.005861722","0.005933720","0.014414085","0.007110405","0.000401521","2.058970000","0.002876585","0.005981680","0.003966183","0.001107698","0.000000000","0.000000000","0.006439146","0.000597245","0.001489780","0.001812145","0.000878274","0.000677620","0.000643161","0.000264780","0.001042975","0.000000000","0.001072303","0.001648520","0.515724000","0.091487500","0.018907600","0.002635423","0.003481713","0.000000000","0.005849248","0.002090901","0.001423178","0.000000000","0.004292000","0.002220000","0.007355000","0.005215000","0.000449000","0.000148500","0.001195000","0.007680000"
"NTG",3,"0.0007195290","0.0008349110","0.0000000000","0.0000000000","0.0025521950","0.0002382370","0.0006634540","0.0000000000","0.0000000000","0.0004897330","0.0001434090","0.0002964360","0.0011703130","0.0005111120","0.0000000000","0.0017421900","0.0017367750","0.0000000000","0.0003561010","0.0079102960","0.0032498200","0.0264319000","0.0009100400","0.0005892660","0.0005968600","0.0003142250","0.1227247180","0.0012857800","0.0000437855","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0001000600","0.0016681880","0.0000000000","0.0269473800","0.0000506500","0.0018487250","0.0003336640","0.0036087350","0.0121346000","0.0000000000","0.0010986600","0.0000000000","0.0194627590","0.0041713950","0.4804500330","0.3635586670","0.0002422560","0.0000000000","0.0008459010","0.0000000000","0.0007746300","0.0016763130","0.0000000000","0.0003124830","0.0008533230","0.0010886800","0.0006785000","0.0041815340","0.0007116800","0.0001346000","0.0000000000","0.0003727450","0.0052964950","0.0000000000","0.0344308670","0.0050654940","0.0000000000","0.0002263540","0.0005928740","0.0000000000","0.0007255950","0.0004744960","0.0001428120","0.0000000000","0.0001051600","0.0104457500","0.0007828850","0.0068211050","0.0000580985","0.0000000000","0.0000000000","0.0294325880","0.0799859830","0.0000000000","0.0000000000","0.0000000000","0.0159991080","0.0000000000","0.0053087650","0.0000000000","0.0077981000","0.0037951200","0.0022036880","0.0011799050","2.2604800000","0.0009802950","0.0041187900","0.0026021850","0.0481390000","0.0000000000","0.0127518500","0.0024783840","0.0000000000","0.0000000000","0.0000000000","0.0006548610","0.0003133920","0.0002724260","0.0005091130","0.0001193300","0.0000000000","0.0018881400","0.0001893780","0.4393630000","0.0000000000","0.0054369800","0.0008208790","0.0003482700","0.0000000000","0.0047694090","0.0000959913","0.0004587600","0.0001897090","0.0004918750","0.0393798500","0.0216312500","0.0004414760","0.0000000000","0.0000000000","0.0007680150","0.0014274200"
"G20",3,"0.0030369190","0.0007344900","0.0000000000","0.0000000000","0.0038262100","0.0011056740","0.0061686250","0.0034789850","0.0000000000","0.0000000000","0.0003520320","0.0000533570","0.0015264840","0.0021165580","0.0000000000","0.0010481230","0.0000000000","0.0048650800","0.0013157030","0.0074390150","0.0027047540","0.0097157600","0.0013633000","0.0028359050","0.0011604150","0.0003787340","0.0001576130","0.0019156280","0.0077980720","0.0079094750","0.0000000000","0.0000000000","0.0000000000","0.0012526580","0.0021719360","0.0029924500","0.0109173550","0.0000000000","0.0000000000","0.0000000000","0.7809815080","0.0036874800","0.0010437210","0.0011470850","0.0006327350","0.0997654070","0.1203855000","0.1323303330","4.0489970000","0.0032599360","0.0011880450","0.0007227980","0.0077211640","0.0070184000","0.0028827900","0.0003996650","0.0000000000","0.0017265950","0.0000000000","0.0000000000","0.0134434570","0.0005969400","0.0008117460","0.0000000000","0.0024256400","0.0019643050","0.0013578100","0.0097290560","0.0008246120","0.0002462740","0.0000000000","0.0000588980","0.0003857820","0.0006903800","0.0006803300","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0151432000","0.2238141250","0.1660159030","0.1082623230","0.1095811500","0.0653897170","0.0005371700","0.0000000000","0.0000000000","1.1940826750","0.0125720900","0.0031883640","0.0000608255","0.0166389280","0.0000000000","0.0001115880","0.0027390410","0.1329235000","0.0000000000","0.0024955940","0.0169964160","0.0221725750","0.0024099030","0.0004612030","0.0047386790","0.0000000000","0.0008174950","0.0000000000","0.0000672733","0.0047701100","0.0004023000","0.0010225220","0.0008270900","0.0000000000","0.0001774760","0.0018762130","0.0169385000","0.0000000000","0.1159926500","0.0026924620","0.0016701300","0.0100666500","0.0077390660","0.0005853110","0.0004337190","0.0009304750","0.0147213450","0.0717357000","0.5927385000","0.0016811810","0.0111585000","0.0000000000","0.0156357000","0.0024727050"
"G20",3,"0.0000328495","0.0001856810","0.0000000000","0.0152119200","0.0017590900","0.0000724900","0.0000000000","0.0000000000","0.0015381200","0.0019880340","0.0011357300","0.0015208400","0.0000000000","0.0014117030","0.0003110850","0.0017405480","0.0000000000","0.0000000000","0.0030999750","0.0056091580","0.0058262400","0.0108528200","0.0011118350","0.0003319370","0.0001351230","0.0175846750","0.0002942620","0.0022473130","0.0013889400","0.0000000000","0.0001576100","0.0000000000","0.0000000000","0.0006409000","0.0016022210","0.0024992150","0.0129391750","0.0002160160","0.0013840250","0.0002652660","0.0214976100","0.0023207810","0.0012099850","0.0059679600","0.0006331250","0.2120263780","0.8862853250","0.8453610330","7.8857571170","0.0003448740","0.0000828985","0.0001258090","0.0113674650","0.0062686050","0.0015628310","0.0017953050","0.0028117800","0.0052527200","0.0013490200","0.0015387800","0.0017897360","0.0008615800","0.0054091400","0.0026067600","0.0025012000","0.0017131440","0.0023531630","0.0148104340","0.0021090810","0.0019122900","0.0010243200","0.0020858820","0.0022247850","0.0007112670","0.0018362650","0.0006699050","0.0044304600","0.0022288250","0.0032840400","0.0027492750","0.0043729050","0.0079583030","0.0045037180","0.0034756400","0.0096912150","0.2567258720","0.0166343770","0.0066296850","0.0075634200","0.0587065000","0.0000000000","0.0016988140","0.0018561950","0.0218544400","0.0782056000","0.0201810480","0.0046942320","1.7803025000","0.0012422600","0.0014862000","0.0017666440","0.0000000000","0.0006639680","0.0061570450","0.0022671680","0.0035331800","0.0000000000","0.0026516700","0.0013209670","0.0018551100","0.0063149450","0.0007059510","0.0031592120","0.0000000000","0.0076738100","0.0039894690","0.4806650000","0.0000000000","0.0066813600","0.0007933720","0.0009769730","0.0085745500","0.0057309590","0.0011064230","0.0013970450","0.0092311650","0.4588015000","0.0000000000","0.0000000000","0.0010123710","0.0011041580","0.0000000000","0.0010650600","0.0137072100"
"G20",3,"0.0127237550","0.0015046400","0.1405535000","0.0000000000","0.0008824660","0.0026542780","0.0014317310","0.0234874000","0.0042217850","0.0004848010","0.0003264820","0.0005138900","0.0005086640","0.0029948500","0.0013156150","0.0062726650","0.0000000000","0.0000000000","0.0174704860","0.0091799420","0.0078497400","0.0544716500","0.0007544790","0.0001437560","0.0032269150","0.0000000000","0.0041142950","0.0004910850","0.0172020530","0.0000000000","0.0024167300","0.0000000000","0.0000000000","0.0039922970","0.0001864870","0.0038754000","0.0141247000","0.0003320190","0.0000000000","0.0005335000","0.0117625130","0.0049215850","0.0008369950","0.0717890000","0.0000000000","0.0474553430","0.1854555000","0.8310725170","2.7365897000","0.0005366800","0.0000000000","0.0079168650","0.0043369000","0.0055263100","0.0000000000","0.0000000000","0.0000000000","0.0003617830","0.0000000000","0.0041716800","0.0032042610","0.0055782800","0.0094183500","0.0074301500","0.0003030860","0.0011710540","0.0000000000","0.0237511040","0.0047542470","0.0001178950","0.0010116950","0.0000411256","0.0002978950","0.0010875100","0.0013674800","0.0000000000","0.0059690000","0.0023815200","0.0000000000","0.0003100590","0.0093762250","0.0001259050","0.0109262000","0.0011507230","0.0088571900","0.0478967330","0.0091498150","0.0012572300","0.0031795000","0.1711982500","0.0000000000","0.0002377450","0.0005311870","0.0123088250","0.0005475150","0.0007069250","0.0012010780","0.6099045000","0.0000000000","0.0009565620","0.0001485960","0.0000000000","0.0000000000","0.0000000000","0.0029331250","0.0004774320","0.0011931300","0.0032056850","0.0000496808","0.0000000000","0.0000522575","0.0040918100","0.0004381030","0.0000000000","0.0008925780","0.0003369150","0.6352920000","0.0017371650","0.0040751480","0.0004032320","0.0011925830","0.0000000000","0.0027431550","0.0003883990","0.0008639310","0.0000000000","0.0023670000","0.0001644290","0.0153760000","0.0073139600","0.0000783960","0.0000000000","0.0048341650","0.0021519050"
"G20",3,"0.002585143","0.000000000","0.000000000","0.000000000","0.001440035","0.002094962","0.000782359","0.000000000","0.000000000","0.000739058","0.010246430","0.001560860","0.001640354","0.000954360","0.008120300","0.005752220","0.000000000","0.007795350","0.000751751","0.004837401","0.003519910","0.049489300","0.001195933","0.006179650","0.009866200","0.000125056","0.000065121","0.001442406","0.000343101","0.009211150","0.000978594","0.000000000","0.000000000","0.001256393","0.001003622","0.001402750","0.005731515","0.000475184","0.000686955","0.001078015","0.115653691","0.004099975","0.000480401","0.001022480","0.005366350","0.045124310","0.023450405","0.114819173","0.424314452","0.000000000","0.000295382","0.000682107","0.000000000","0.000233929","0.000387615","0.002196685","0.000000000","0.000000000","0.000000000","0.000000000","0.009521436","0.003207430","0.002312065","0.000000000","0.000000000","0.007976917","0.004547875","0.011890623","0.001765300","0.000937085","0.000179414","0.000210344","0.000203691","0.000253986","0.001108465","0.002547354","0.005769509","0.000283608","0.000000000","0.003483940","0.025201450","0.215189600","0.158441650","0.068689748","0.050238223","0.044466025","0.000260058","0.003849930","0.003408845","0.290203550","0.000000000","0.001462900","0.006557705","0.048152900","0.009053595","0.002752058","0.000965019","0.363269500","0.000834980","0.002294940","0.010323643","0.015426950","0.002295833","0.004659300","0.002204442","0.000000000","0.000000000","0.000183199","0.003394785","0.003742465","0.001129696","0.000484188","0.000699782","0.000721460","0.003255786","0.001503067","0.115894300","0.000474379","0.020140388","0.001144022","0.000568154","0.000000000","0.005816850","0.001346279","0.001974803","0.005108150","0.002058675","0.013234125","0.054699950","0.018025200","0.000280000","0.000000000","0.000297500","0.004901285"
"G20",3,"1.752271e-03","1.787295e-03","0.000000e+00","3.121805e-03","1.107243e-03","2.671478e-03","3.427370e-04","1.421465e-03","0.000000e+00","9.297510e-04","5.300000e-04","9.030290e-04","2.233865e-03","4.850000e-04","7.064800e-04","1.507545e-03","0.000000e+00","5.515600e-04","8.509843e-03","8.645330e-05","1.825145e-02","9.310945e-02","1.909040e-04","1.468750e-04","2.435260e-03","4.311790e-03","2.851860e-04","5.179800e-05","9.260940e-04","0.000000e+00","5.011940e-04","0.000000e+00","0.000000e+00","1.465379e-03","2.204239e-03","5.820225e-03","6.509350e-02","1.480000e-04","2.986620e-03","1.467635e-02","6.731973e-02","1.241782e-03","0.000000e+00","0.000000e+00","3.164760e-04","2.909026e-01","1.475390e-01","6.120887e-01","1.119072e+01","5.782830e-04","4.250175e-03","4.177440e-04","1.493255e-03","3.360585e-03","1.256045e-03","4.235270e-03","0.000000e+00","7.565650e-04","0.000000e+00","2.179065e-02","3.174291e-03","3.266421e-03","1.058530e-03","9.676210e-04","1.641580e-03","7.905627e-03","0.000000e+00","5.696119e-02","2.296028e-03","1.376505e-03","1.167460e-03","1.197492e-03","7.248000e-03","1.364615e-03","1.697310e-04","1.223065e-03","7.374550e-03","1.236480e-03","2.060420e-03","2.553165e-03","4.266455e-03","6.011181e-03","1.622795e-02","2.182300e-04","6.134883e-03","7.517936e-01","1.393340e-03","6.322250e-04","4.483685e-02","4.274917e-01","2.151335e-02","3.806477e-03","4.114775e-02","1.168818e-03","0.000000e+00","1.396172e-02","3.554630e-04","2.551740e+00","0.000000e+00","1.222410e-04","9.261353e-03","6.685183e-03","4.362350e-03","5.310910e-03","7.144812e-03","8.783600e-04","7.043300e-04","7.439460e-04","9.971330e-04","0.000000e+00","2.708017e-03","0.000000e+00","3.233850e-04","0.000000e+00","2.052410e-04","1.451353e-03","8.426120e-01","2.123760e-03","6.057713e-03","2.307304e-03","4.208603e-03","0.000000e+00","2.049757e-03","2.203555e-03","2.004846e-03","0.000000e+00","3.975115e-02","1.239135e-02","4.577655e-02","8.853730e-04","0.000000e+00","9.251421e-03","0.000000e+00","1.312080e-03"
"G20",3,"0.000729263","0.002799740","0.000000000","0.000000000","0.002873225","0.001229637","0.001277447","0.000000000","0.000000000","0.001606115","0.000000000","0.000132468","0.000462397","0.000687729","0.000000000","0.000991585","0.000000000","0.000605860","0.000194209","0.002530496","0.014101300","0.042327950","0.000112971","0.004828225","0.001920549","0.000000000","0.000094298","0.000124456","0.001360934","0.000000000","0.000838330","0.001099700","0.000000000","0.000210704","0.002067695","0.001682155","0.007385710","0.000286298","0.001985835","0.010183410","0.006646774","0.006997320","0.001945205","0.000868708","0.000000000","0.035250133","0.016227750","0.523392050","0.305461500","0.000548465","0.000000000","0.001858075","0.000834580","0.000517945","0.002514914","0.000000000","0.000172633","0.000000000","0.000000000","0.000338311","0.001994436","0.002993790","0.000112290","0.000000000","0.000745610","0.001614790","0.000426193","0.111074522","0.025920938","0.000419098","0.000319226","0.003709600","0.002108960","0.000420851","0.007711250","0.000000000","0.000000000","0.009274250","0.000000000","0.000000000","0.000471072","0.000997190","0.000672738","0.000000000","0.479360703","0.214998417","0.000374576","0.000000000","0.001058995","0.103863333","0.000206666","0.002617610","0.000860435","0.000406580","0.000345035","0.009839230","0.003030098","1.526575500","0.003736255","0.000000000","0.000110703","0.000000000","0.000000000","0.000000000","0.002913623","0.000176224","0.000000000","0.011567500","0.002228723","0.000000000","0.000438367","0.000101505","0.000230752","0.000000000","0.007896635","0.000000000","0.478219000","0.001222210","0.014664290","0.012409950","0.001335622","0.000688180","0.014012898","0.003187185","0.001370881","0.006829850","0.003949275","0.007574662","0.001483772","0.013893215","0.114413700","0.000811685","0.000000000","0.002517928"
"G20",3,"0.0003392980","0.0789768850","0.0000000000","0.0083398950","0.0008327600","0.0001719600","0.0000000000","0.0305243850","0.0039890200","0.0010692870","0.0000000000","0.0000000000","0.0002136250","0.0008703690","0.0005787600","0.0023851350","0.0000000000","0.0000000000","0.0002919410","0.0061635500","0.0087441950","0.0110052550","0.0006952460","0.0029424250","0.0036789770","0.0010480110","0.0006589400","0.0001499090","0.0012243890","0.0031316400","0.0001127050","0.0000000000","0.0000000000","0.0000736945","0.0022259420","0.0020261200","0.0299350650","0.0013107950","0.0039860500","0.0000000000","0.0196694330","0.0081704850","0.0001604650","0.0006708830","0.0000000000","0.0718972170","0.0283195650","0.8822164000","1.3144973330","0.0010976050","0.0010559340","0.0008075420","0.0001937690","0.0018189050","0.0020159590","0.0000000000","0.0010352650","0.0000000000","0.0002178160","0.0000000000","0.0011879270","0.0027110780","0.0001146850","0.0000000000","0.0003730760","0.0027332790","0.0003400000","0.0400654280","0.0206231350","0.0008771080","0.0001456040","0.0045009450","0.0004956790","0.0006704550","0.0050994950","0.0001886240","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0146864600","0.0005404590","0.0000000000","0.0003996900","0.1694933980","0.3072725000","0.0000000000","0.0010918100","0.0000000000","0.1357007500","0.0000000000","0.0003334890","0.0007648400","0.0001055090","0.1324825000","0.0008965170","0.0005961170","2.6252400000","0.0000000000","0.0012763310","0.0021588520","0.0000000000","0.0002690900","0.0010071040","0.0116412490","0.0000000000","0.0005950000","0.0000000000","0.0000000000","0.0000000000","0.0003963690","0.0002160870","0.0004913550","0.0038998150","0.0029900650","0.0015426250","1.7976150000","0.0009233600","0.0136188240","0.0005650510","0.0008153160","0.0015338550","0.0011643130","0.0001143190","0.0024355180","0.0013277900","0.1453570500","0.1219044000","0.1212110000","0.0017250750","0.0251752000","0.0000000000","0.0000000000","0.0022840050"
"NTG",6,"0.0094127750","0.0045650000","0.0000000000","0.0000000000","0.0005805000","0.0122268500","0.0030500000","0.0000000000","0.0000000000","0.0003425000","0.0462463000","0.0073084840","0.0044714300","0.0321147190","0.0202472000","0.0061822150","0.0000000000","0.0000000000","0.0083700250","0.1621554330","0.1164328000","0.9414785000","0.0007422660","0.0446430500","0.0008875750","0.0071649630","0.0022034300","0.0004399870","0.0169316170","0.0000000000","0.0036646600","0.0000000000","0.0000000000","0.0012257690","0.0003044080","0.0568500000","0.3838710000","0.0000665605","0.0047665650","0.0008125590","0.1148220500","0.1520388000","0.0103310500","0.0175401500","0.0006801880","0.2932591000","1.0580485500","2.7379773330","2.0697326670","0.0107484100","0.0010558460","0.0052427450","0.0058591100","0.0466972500","0.0050177300","0.0420561300","0.0009015600","0.0313596500","0.0024019900","0.0115341850","0.0262422920","0.0081759400","0.0040166850","0.0035857630","0.0000000000","0.0565950470","0.0110397880","0.0874284000","0.0508959930","0.0000000000","0.0001016290","0.0000523285","0.0003651620","0.0126862000","0.0007513550","0.0006082200","0.0003100340","0.0011476400","0.0175567800","0.0026404250","0.2873960000","0.3200376750","0.1681530000","0.2953499750","4.0165792500","1.9116635000","0.0026145800","0.1050236000","0.0031239400","0.1277417500","0.0363874000","0.0533994830","0.2548730000","0.5248662500","0.3529215000","0.1176297000","0.0121818740","4.6889550000","0.0238557000","0.0367250500","0.0913097750","0.0147352830","0.0255310750","0.0447171800","0.0099858020","0.0000000000","0.0071803000","0.0003430890","0.0115032030","0.0100209300","0.0203199800","0.0078245500","0.0010536980","0.0019590250","0.0579945250","0.0017188530","1.3605300000","0.0033157850","0.0584478250","0.0371300500","0.0537734500","0.0063143750","0.0266710250","0.0087543480","0.0039765700","0.0039804850","0.0305500000","0.0037900000","0.0166950000","0.1223840000","0.0004985000","0.0012300000","0.0029350000","0.0192400000"
"NTG",6,"0.000934716","0.000205931","0.002961595","0.354359000","0.001345514","0.001451440","0.000273665","0.000000000","0.001041760","0.000570314","0.001523894","0.000662428","0.000813709","0.019754661","0.000194260","0.001788335","0.000000000","0.000000000","0.031446898","0.035375847","0.184015000","0.965646500","0.000881895","0.041279950","0.004035695","0.000000000","0.000000000","0.001461712","0.001927028","0.000000000","0.001520124","0.000000000","0.000000000","0.000615286","0.001805308","0.012437820","0.153906500","0.004780586","0.002162200","0.003027975","0.069702688","0.008582000","0.015794750","0.002167480","0.000316492","0.260375167","0.154773750","6.013760000","5.343179167","0.001954290","0.002530190","0.000914852","0.005845750","0.062125300","0.008488087","0.000180236","0.000000000","0.012360875","0.001346870","0.021739265","0.007464905","0.001227050","0.000000000","0.001061628","0.000000000","0.033356023","0.010643575","0.558073200","0.103726750","0.000000000","0.000000000","0.001427300","0.000918017","0.009921220","0.000000000","0.000000000","0.000000000","0.007626930","0.000000000","0.000000000","0.031250000","0.084002050","0.064214025","0.117083000","2.981457500","5.432076667","0.085055000","0.416392500","0.261890000","0.213367925","0.000164500","0.001450083","0.002850500","0.041012400","0.002210000","0.027221508","0.010102330","6.599445000","0.029850000","0.008410000","0.012116708","0.013414570","0.006547110","0.055877475","0.013895044","0.000000000","0.001700000","0.000000000","0.011051224","0.000605000","0.000588235","0.000491000","0.000353500","0.000000000","0.009699600","0.000388345","2.752880000","0.007480000","0.478817475","0.001248015","0.003770257","0.015965248","0.010219352","0.000403651","0.001913624","0.009304225","0.345516000","0.082589650","0.011358600","0.063332400","0.002406770","0.001313125","0.000382648","0.033543675"
"NTG",6,"0.001180310","0.000390734","0.000000000","0.001359120","0.000627390","0.001303617","0.002940430","0.000000000","0.003855275","0.001764570","0.010587190","0.003883532","0.002990805","0.003922564","0.001021110","0.000000000","0.040420500","0.000620215","0.005553043","0.011322162","0.240933500","1.244779000","0.002760080","0.022083450","0.001775295","0.004326080","0.001014967","0.000475681","0.007434190","0.001000510","0.001243935","0.000000000","0.000564030","0.000830939","0.000420006","0.040038200","0.347216000","0.000201063","0.007962255","0.000811485","1.809606713","0.014246500","0.033488300","0.005270245","0.001970675","0.253117050","0.190652425","4.573867333","3.111924167","0.015072000","0.000527412","0.002877645","0.059536355","0.068145800","0.000000000","0.069478085","0.000714920","0.006247435","0.001107345","0.001436060","0.019953683","0.007742925","0.001792125","0.000616330","0.000000000","0.005984567","0.009039545","0.361658483","0.080608700","0.000000000","0.000094226","0.000269213","0.000393426","0.006905835","0.001074640","0.000736307","0.002444610","0.000476968","0.000000000","0.000492432","0.042707950","0.090252325","0.024640565","0.084442140","5.449716750","7.494968333","0.026164135","0.013003435","0.043670925","0.503868250","0.000331081","0.037826816","0.000235227","0.002850151","0.000634655","0.022941475","0.050647870","5.107345000","0.039848960","0.014768900","0.036592055","0.016266510","0.016410580","0.008691725","0.005939943","0.000482728","0.002630571","0.000000000","0.000689935","0.000000000","0.001410389","0.000250449","0.000593649","0.000000000","0.008067415","0.000269465","1.640600000","0.001709250","2.025384275","0.000992201","0.008180020","0.002675975","0.034107450","0.005305229","0.001951135","0.002075655","0.708970350","2.132357000","1.623610500","0.088992700","0.009775599","0.004501532","0.021149150","0.112756000"
"NTG",6,"0.007000676","0.000000000","0.004422820","0.000000000","0.000790372","0.001180176","0.001267610","0.000000000","0.000000000","0.000351243","0.024918750","0.001709425","0.000604972","0.010356290","0.000000000","0.008191195","0.005221250","0.000000000","0.005530553","0.032445213","0.069307650","0.604061000","0.000521128","0.005778845","0.001721843","0.004814578","0.000212901","0.000243491","0.014306523","0.000626615","0.001519183","0.000000000","0.000000000","0.002990327","0.003279173","0.009887320","0.174694450","0.000000000","0.000989146","0.001298400","1.265557294","0.024721610","0.007149650","0.004954905","0.000316366","0.197816583","0.377840150","2.565772667","1.037077833","0.005092300","0.002129571","0.004990875","0.035009800","0.038372650","0.003306130","0.056102250","0.024382334","0.015865260","0.004235420","0.000000000","0.060463184","0.024344600","0.001309340","0.026834500","0.001865287","0.009354639","0.001899695","0.244374287","0.022784113","0.000567405","0.001684317","0.000165783","0.004897065","0.004251875","0.003677462","0.000000000","0.001437295","0.005150967","0.005901840","0.002168350","0.220506500","1.863506500","1.337042250","0.296359425","4.578971750","3.253643333","0.001788740","0.022292450","0.005250845","1.310483000","0.011142130","0.130269233","0.008926205","1.554915750","5.882210000","0.016802493","0.026478898","3.765345000","0.007452625","0.041480250","0.140750750","0.118062850","0.063417900","0.007660843","0.009789697","0.000629145","0.002191925","0.015227775","0.012532908","0.000337292","0.048518758","0.004958995","0.002937583","0.004731220","0.015084030","0.000407786","1.699000000","0.000429801","0.719336000","0.048398900","0.025224418","0.010245665","0.096165700","0.005294390","0.010303315","0.009420050","0.135393000","0.059239450","0.330351500","0.042206450","0.001139646","0.002264985","0.024579325","0.046186400"
"NTG",6,"0.005514263","0.018415305","0.008514250","0.000234053","0.001826746","0.002696623","0.002583645","0.000000000","0.000000000","0.004320720","0.029040015","0.000179315","0.001157445","0.000200014","0.000574025","0.003050160","0.001217820","0.000654570","0.009562575","0.000859376","0.090989200","0.529612500","0.003287859","0.020637750","0.006408565","0.002214849","0.000663250","0.001001331","0.000185979","0.001899370","0.000625365","0.000000000","0.000000000","0.001454227","0.000268105","0.026130500","0.144103000","0.000446806","0.020574685","0.003015630","1.012625238","0.000332961","0.000517030","0.010765720","0.000000000","0.234218000","0.106234050","2.283350500","2.172488333","0.012707165","0.000161227","0.000337383","0.000000000","0.020261900","0.000515990","0.000927066","0.000357522","0.003769615","0.001004672","0.003814380","0.069959148","0.000382707","0.000268948","0.000483258","0.000000000","0.037624893","0.017973570","0.344866717","0.038926117","0.002066640","0.000747900","0.000492268","0.001191385","0.011587100","0.003628320","0.004728947","0.000285845","0.000000000","0.001348331","0.000000000","0.008590486","0.010895593","0.015696900","0.022012515","0.445260225","4.456353333","0.006999551","0.028415100","0.004660335","0.596600000","0.000000000","0.050659496","0.005765820","0.001591940","0.000000000","0.020731675","0.000983092","4.927565000","0.051668150","0.001098409","0.000610561","0.000926200","0.005912353","0.009938058","0.020338433","0.000000000","0.002264775","0.000000000","0.009155748","0.000737000","0.001434730","0.000298119","0.000157927","0.000000000","0.021507005","0.004191903","2.892110000","0.017576510","0.275082525","0.001062983","0.007344473","0.087368650","0.003452523","0.000201868","0.004149480","0.003442468","0.358458500","0.357347500","0.463103500","0.007037955","0.013056495","0.001964335","0.018068624","0.006667055"
"NTG",6,"0.005239389","0.001838230","0.000000000","0.021168550","0.005042545","0.001352324","0.003124690","0.000000000","0.002060580","0.002747780","0.010615635","0.000461028","0.000766973","0.007557381","0.001148040","0.002959508","0.008532400","0.001346385","0.013448612","0.051837527","0.048649700","0.367654500","0.002208633","0.002108040","0.002854995","0.006708110","0.002747465","0.001451162","0.013322925","0.000000000","0.000000000","0.000000000","0.000000000","0.002671858","0.001003083","0.037828650","0.270887000","0.000774120","0.029570040","0.002226660","1.005921188","0.132838500","0.042767850","0.022993050","0.002217054","0.226171450","0.741048025","1.965642500","1.925965000","0.160007500","0.133794500","0.004645595","0.070047550","0.054969750","0.002192062","0.000370788","0.000536149","0.009915245","0.001804980","0.001924780","0.056362291","0.003806920","0.004360140","0.003006810","0.005265550","0.050996636","0.023879690","0.203916683","0.049174083","0.000150776","0.000257134","0.000859321","0.002289990","0.017376200","0.000191036","0.000355060","0.001144480","0.004793025","0.000000000","0.003648420","0.025169450","0.062768650","0.135866375","0.061740825","0.445523500","1.890786667","0.033875795","0.007842960","0.002724170","0.533752250","0.000122943","0.017927497","0.005149190","0.020305337","0.003351770","0.036155225","0.001141508","4.741860000","0.011681815","0.003212455","0.017185843","0.005169080","0.010819563","0.018310615","0.013707055","0.000000000","0.000000000","0.000000000","0.002503782","0.001009301","0.006049737","0.000979111","0.001866140","0.007229600","0.017767445","0.006775815","3.223620000","0.001035430","0.075115275","0.010630355","0.010782738","0.004696790","0.014703893","0.003055930","0.003654865","0.000944183","0.322757500","0.396567000","0.336526000","0.010781180","0.013632500","0.007027794","0.007780990","0.015553565"
