"Condition","Month","iMOs","iORB","iPL","iAOB","iMOB","cMOs","cORB","cPL","cAOB","cMOB","iACA","iMOp","iSSp-m","iSSs","iGU","iAI","iCLA","iEPd","iPIR","iCP","iLS","iMS","iACB","iSI","iOT","cACA","cMOp","cSSp-m","cSSs","cGU","cAI","cCLA","cEPd","cPIR","cCP","cLS","cMS","cACB","cSI","cOT","iRSP","iSSp-bfd","iVISC","iAIp","iEP","iCA1","iCA2","iCA3","iDG","iLD","iMD","iVAL","iSMT","iHY","iGP","iCEA","iBLAa","iMEA","iBMA","iCOAa","cRSP","cSSp-bfd","cVISC","cAIp","cEP","cCA1","cCA2","cCA3","cDG","cLD","cMD","cVAL","cSMT","cHY","cGP","cCEA","cBLAa","cMEA","cBMA","cCOAa","iVISa","iAUD","iTEa","iECT","iPERI","iENTl","iBLAp","iTR","iCOAp","iSUB","iPT","iPAG","iDpM","iTHp","iZI","iVTA","iSN","iSUM","iMM","cVISa","cAUD","cTEa","cECT","cPERI","cENTl","cBLAp","cTR","cCOAp","cSUB","cPT","cPAG","cDpM","cTHp","cZI","cVTA","cSN","cSUM","cMM","iVISp","iSC","iMRN","iIP","cVISp","cSC","cMRN","cIP","iPAR","iPRE","iPOST","iPRN","cPAR","cPRE","cPOST","cPRN"
"G20",6,"0.0034964400","0.0008841000","0.0000000000","0.2510321000","0.0001097800","0.0002711420","0.0011960130","0.0116557000","0.0009238400","0.0007677110","0.0056925060","0.0046825900","0.0005655150","0.0237541500","0.0002409660","0.0148650300","0.0873490800","0.0006201850","0.0319736970","0.0176182780","0.1556430000","2.1310600000","0.0000000000","0.0681825000","0.0100200950","0.0009455700","0.0002253970","0.0001410950","0.0062385250","0.0000000000","0.0441348000","0.0000000000","0.0000000000","0.0003606190","0.0002965710","0.0192784500","1.8599600000","0.0000571465","0.0016525080","0.0032001650","0.1578923880","0.0163078650","0.0181952450","0.0122493100","0.0138337040","0.1619253830","0.1374057250","2.3962998330","1.2550380000","0.0075925850","0.0002034890","0.0021010500","0.0034725450","0.0273645000","0.0036530100","0.0322350500","0.0017217900","0.1542143500","0.0014828450","0.0168645000","0.0119519640","0.0000733195","0.0378562390","0.0033117200","0.0000000000","0.0062350200","0.0072011650","0.0176740740","0.0069438420","0.0000000000","0.0000000000","0.0000558265","0.0081377410","0.0125947900","0.0001877270","0.0000000000","0.0002860790","0.0000000000","0.0000000000","0.0000000000","0.3502975000","0.7238967500","0.7504962500","0.4043669000","5.7855197500","6.0645250000","0.0080042550","0.2547565000","0.0414370500","0.3280392500","0.0008335400","0.0034123250","0.0116086600","0.0414734750","0.0004367200","0.0468181330","0.0035154730","3.1753000000","0.0044112500","0.0197098100","0.0675646000","0.0125578430","0.0728245250","0.0039507000","0.0104789850","0.0000000000","0.0000000000","0.0002538540","0.0173738630","0.0000000000","0.0030891200","0.0011745250","0.0001364090","0.0000000000","0.0055541200","0.0002224950","0.7808490000","0.0066303650","0.4419560750","0.0004689420","0.0011221830","0.0020540400","0.0158874230","0.0000562310","0.0014950520","0.0000000000","3.1493100000","0.0608176000","0.4709280000","0.0190855500","0.0003668640","0.0033293530","0.0034384700","0.0178905000"
"G20",6,"0.004430336","0.000715470","0.000000000","0.002669242","0.000175644","0.000810522","0.001982852","0.000000000","0.000000000","0.000778429","0.030176200","0.001905770","0.000494378","0.004866688","0.000908035","0.002898800","0.087438175","0.000000000","0.010076105","0.016663128","0.094316050","0.611818000","0.000169906","0.015737210","0.001259932","0.000405523","0.000149806","0.001481085","0.005145623","0.000000000","0.000334028","0.000000000","0.000000000","0.001161090","0.000599639","0.022413290","0.129109900","0.002033455","0.001383830","0.000726975","0.804679750","0.018943300","0.008462014","0.002352420","0.000328634","0.141962367","0.227286588","3.527325000","3.973881167","0.005248715","0.000000000","0.009960920","0.024036850","0.070644600","0.000000000","0.000181481","0.000361579","0.008408900","0.027091950","0.004841945","0.021363108","0.004839880","0.000872219","0.002243025","0.001492550","0.074007805","0.023506998","0.102999850","0.050624483","0.000000000","0.001014752","0.002983275","0.003652150","0.010133880","0.000000000","0.000000000","0.000000000","0.000171982","0.001002770","0.000693750","0.125120500","0.137264500","0.083029400","0.229311825","3.715103500","8.399303333","0.012510280","0.052723950","0.003265295","1.499706500","0.006462075","0.005463276","0.004029560","0.006284128","0.035840500","0.043564725","0.002950765","4.743910000","0.001738330","0.024340985","0.061696150","0.008757693","0.006028083","0.008839720","0.016483542","0.000000000","0.000000000","0.000000000","0.022879500","0.001661080","0.005056578","0.000367442","0.000000000","0.001390500","0.023144875","0.000544600","1.575815000","0.033994650","0.097343500","0.002436161","0.005603270","0.004615000","0.012415000","0.000266628","0.000955373","0.000000000","0.214202000","0.359735000","0.208992500","0.027302100","0.026250245","0.011018612","0.002821930","0.046056450"
"G20",6,"0.0020464060","0.0068579100","0.0023450500","0.0036072700","0.0002193540","0.0017284660","0.0027585580","0.0010197400","0.0015541600","0.0023873000","0.0096914350","0.0004830290","0.0016734350","0.0381685000","0.0013433490","0.0730845500","0.3785820500","0.0018602350","0.0113007320","0.0260220120","0.1136769000","0.7950715000","0.0000634815","0.0400792500","0.0118405180","0.0107328850","0.0000000000","0.0001293030","0.0074534200","0.0002724200","0.0032986950","0.0000000000","0.0000000000","0.0039207280","0.0004570720","0.0193840000","0.4364785000","0.0006643320","0.0034336400","0.0017043700","0.5233415630","0.0720036000","0.0216596650","0.0116818550","0.0006660700","0.2621323000","0.3940910700","4.8396600000","2.4250451670","0.0051528960","0.0004982610","0.0092390200","0.0092408630","0.0272712500","0.0072789000","0.0052265540","0.0027000100","0.0021336400","0.0000000000","0.0087430550","0.0206953330","0.0141049250","0.0135749650","0.0388307000","0.0003756550","0.0633565940","0.0163570480","0.0816526670","0.0336876170","0.0000000000","0.0008696550","0.0050808050","0.0007841610","0.0023703400","0.0032968250","0.0013003000","0.0000000000","0.0000000000","0.0018382260","0.0021242100","0.5375165000","1.1663795000","1.0956015000","0.6474627500","2.5718345000","6.1397966670","0.0150911950","0.2907105000","0.1167170500","1.2259086500","0.6049690000","0.0476815400","0.5796530000","0.3742962500","0.0888333000","0.0454441500","0.0045907900","5.2475300000","0.0131653850","0.0653353500","0.1945019000","0.1184461500","0.0694437500","0.0355591600","0.0104063320","0.0016325950","0.0026082600","0.0175188500","0.0126868880","0.0094607370","0.0214734700","0.0211809500","0.0012798750","0.0041700400","0.0033174500","0.0041859060","1.9078950000","0.0022784200","0.5515315000","0.0266024730","0.0323997250","0.0046817450","0.0368807250","0.0058814310","0.0048888750","0.0247518000","0.2919335000","0.0238622150","0.1688660000","0.0435010000","0.0001099010","0.0024395340","0.0203271600","0.0193863500"
"G20",6,"0.003595060","0.001171220","0.006645850","0.138456850","0.006628975","0.010552390","0.004385405","0.002930490","0.001007760","0.002070520","0.007030955","0.003141049","0.004184995","0.001543783","0.010187945","0.047289070","0.002437985","0.003271780","0.032602632","0.005558870","0.168262500","0.736936000","0.003264500","0.085394950","0.007758430","0.000452944","0.001453165","0.001977967","0.009290169","0.002436090","0.012446825","0.000000000","0.000000000","0.005859228","0.001087887","0.108843300","0.287762500","0.001362189","0.015250000","0.008217925","0.026363086","0.007524680","0.008318800","0.021595150","0.016142300","0.369897500","0.285491250","3.567505000","5.024685000","0.002879430","0.001579420","0.002135160","0.007597233","0.025992200","0.000374236","0.005874545","0.004646500","0.018248900","0.008712785","0.044674600","0.016169256","0.001469381","0.000329167","0.001737030","0.000000000","0.052388980","0.043094940","0.757359650","0.149639317","0.000831300","0.000324005","0.001666860","0.000104441","0.012165000","0.002293535","0.001310680","0.000000000","0.001289562","0.010146950","0.000747050","0.009764845","0.010313313","0.035719240","0.098104353","4.703410000","3.685500000","0.090235650","0.056314950","0.017203300","0.204255500","0.000000000","0.009026183","0.000758941","0.037546958","0.005863595","0.019996280","0.007561150","6.913655000","0.382947000","0.005105745","0.017328635","0.002239645","0.004616098","0.252439725","0.031325583","0.002261970","0.005601380","0.003553015","0.044460068","0.000288302","0.001193761","0.002423415","0.001535465","0.000555840","0.019890050","0.002117081","4.019690000","0.017339520","0.052971813","0.000760750","0.010173790","0.016797350","0.006228630","0.000196324","0.003646158","0.009903725","0.273388500","0.137609550","0.054011350","0.018018000","0.110161600","0.004096705","0.005143470","0.076283800"
"G20",6,"0.002698119","0.000725375","0.004246285","0.188201850","0.003269540","0.001544113","0.002970475","0.000000000","0.000000000","0.001462826","0.017667140","0.001097264","0.000206939","0.000385207","0.002195850","0.016592740","0.000000000","0.001308900","0.013499577","0.000642490","0.129097500","0.483588000","0.001387251","0.036890100","0.006805785","0.003007880","0.001100879","0.002777906","0.001555576","0.004891215","0.002763335","0.000000000","0.000000000","0.002400072","0.000946473","0.043889500","0.218543000","0.000166507","0.009380655","0.000681976","0.475756021","0.001065735","0.002708280","0.021948365","0.004116720","0.225383367","0.246850500","2.094120000","4.520387000","0.000821890","0.000808435","0.004081050","0.005600135","0.076780950","0.000000000","0.004057490","0.001429345","0.023232450","0.009225270","0.152078000","0.022394460","0.000746830","0.014948010","0.002915930","0.000000000","0.055034218","0.079761583","0.366073950","0.096883867","0.000534800","0.001079295","0.000729682","0.002480405","0.015425075","0.000000000","0.000000000","0.001394465","0.007521580","0.001026345","0.007384620","0.004708325","0.019332200","0.047745108","0.135636350","6.545530000","3.297508333","0.025859400","0.025258250","0.025229400","0.279881500","0.001268950","0.008715893","0.001581112","0.025969188","0.005854135","0.035405368","0.002365765","4.895180000","0.019643995","0.000484042","0.003192045","0.009672943","0.003445138","0.036105950","0.021749392","0.000000000","0.002897337","0.000000000","0.008367340","0.000120090","0.003861609","0.001645355","0.001042625","0.000554980","0.023426883","0.003187433","2.637310000","0.018234550","0.086127635","0.000928061","0.003048968","0.009077200","0.004113005","0.000653553","0.003646213","0.000526865","0.518911000","0.231552500","0.332956500","0.019215400","0.097235050","0.007842815","0.004681225","0.008192855"
"NTG",9,"0.002669345","0.002146664","0.000000000","0.001194250","0.004992000","0.001953695","0.000396694","0.001203080","0.000000000","0.000595474","0.043614450","0.001820472","0.000791741","0.024808860","0.002708680","0.001398440","0.005233975","0.007016450","0.025991945","0.220738620","0.201447500","1.175501000","0.003183000","0.017429520","0.001726434","0.002354310","0.004012550","0.002211500","0.016260000","0.005358643","0.000537795","0.000000000","0.001286415","0.000843093","0.002153090","0.040823050","0.347702000","0.002060575","0.004534286","0.000182474","1.081247375","0.130690350","0.062250800","0.023395850","0.002851030","0.465726500","0.532013650","4.526355000","4.103864167","0.017259360","0.002627600","0.001542575","0.005889645","0.075763050","0.017107500","0.000000000","0.001786760","0.020558900","0.008861720","0.005406190","0.088529296","0.038758600","0.098014100","0.005801060","0.000327206","0.119856283","0.152531275","1.346854667","0.202097033","0.001710242","0.000618365","0.000990261","0.002287243","0.006903642","0.000000000","0.002532590","0.000223720","0.000692045","0.000231102","0.000143621","0.026621650","0.113900425","0.065935275","0.174780150","3.009562000","6.426453333","0.009717520","0.019990400","0.001006390","1.448585500","0.000668782","0.044809842","0.001604900","0.002413338","0.001308330","0.059032325","0.005618910","5.494325000","0.241753150","0.032035900","0.100274050","0.034134068","0.042964875","0.136497140","0.078020508","0.000405765","0.000623945","0.001645120","0.042328475","0.007498410","0.012599722","0.004586005","0.021571950","0.015773900","0.028309625","0.003645349","2.618050000","0.062941850","0.169633600","0.005910763","0.032347500","0.054057950","0.091738150","0.008335345","0.015346400","0.035808350","0.582021500","0.516314500","0.494126500","0.085399600","0.301605000","0.025183025","0.026254780","0.058349100"
"NTG",9,"0.013961358","0.002246860","0.000000000","0.781537500","0.009760630","0.008902508","0.000717340","0.000000000","0.006914000","0.002393000","0.049696650","0.004357760","0.007865850","0.027465468","0.012150000","0.020054135","0.000000000","0.003101265","0.016854558","0.169978985","0.175679000","0.860380500","0.002589030","0.088664000","0.004904765","0.006181220","0.003183540","0.001346986","0.013565805","0.001841415","0.000162905","0.000000000","0.000000000","0.001226172","0.009720642","0.051221650","0.331342500","0.003633349","0.006234205","0.001601812","0.261686375","0.103060950","0.019907350","0.014482750","0.002101410","0.518251833","0.763099350","2.945240000","2.707745000","0.002414340","0.002628890","0.002774020","0.003939290","0.046216200","0.016506200","0.003336520","0.002151925","0.022904300","0.005045760","0.010525875","0.044208425","0.023124400","0.009785175","0.003962553","0.000000000","0.153995933","0.106390625","0.574043500","0.140656350","0.000675000","0.000310000","0.000528916","0.001147815","0.007269960","0.004429260","0.001961270","0.001128922","0.000406755","0.000000000","0.001542672","0.080176800","0.225164750","0.257432600","0.203194650","4.605700000","4.236548333","0.011981400","0.017210950","0.001484000","0.659009250","0.001074391","0.020922797","0.003850100","0.033128075","0.049619555","0.143003650","0.011600050","7.363860000","0.016344550","0.066303800","0.143060750","0.100947475","0.017802115","0.011946525","0.040622205","0.000202575","0.001136650","0.000000000","0.027834600","0.002204625","0.035074700","0.001484650","0.000622456","0.000927680","0.070483775","0.001050501","2.825320000","0.069342000","0.386671250","0.007643617","0.015949300","0.487912500","0.051556375","0.008176278","0.014566313","0.003280330","0.784599000","0.456510500","0.293731000","0.165494000","0.183041500","0.034677300","0.051878000","0.018253500"
"NTG",9,"0.029627603","0.008114570","0.000000000","5.804555000","0.021961050","0.003143335","0.000994272","0.001089395","0.000000000","0.011817140","0.032099600","0.001259597","0.003074135","0.010927501","0.000463111","0.003597690","0.023471780","0.003720115","0.030600513","0.083028799","0.309471000","1.154965000","0.003195255","0.108318750","0.009877540","0.004785410","0.001353768","0.000493566","0.001460159","0.000000000","0.001771342","0.000000000","0.000000000","0.002634302","0.000213092","0.125756500","0.601653500","0.002802538","0.036015250","0.008366495","0.190937125","0.072189600","0.047703400","0.022337000","0.001584419","0.465426333","0.804660750","4.628836667","4.883123333","0.069091650","0.003182775","0.011585980","0.009395930","0.144714500","0.002318750","0.001186130","0.004841385","0.045593550","0.012407500","0.082296150","0.032423483","0.016581750","0.011161415","0.001226485","0.000327206","0.102264550","0.101010850","1.303586000","0.369052200","0.000168852","0.000075725","0.001048500","0.001307290","0.026573200","0.003317655","0.000389621","0.000223674","0.001898795","0.003003971","0.001218150","0.055134350","0.160095600","0.178641950","0.704858125","7.998922500","7.050101667","0.080794950","0.143562500","0.080306000","0.586890000","0.028575365","0.053887250","0.057631250","0.083620525","0.009569800","0.126841350","0.025112135","9.341805000","0.101399850","0.021088500","0.054346050","0.043858025","0.024720228","0.059562975","0.088404383","0.000000000","0.007863075","0.000930284","0.031242412","0.007343740","0.024699780","0.009372355","0.011208772","0.012525250","0.071258300","0.006133090","2.741120000","0.067079700","0.457062475","0.034563825","0.055393925","0.107185650","0.050973300","0.011562210","0.013877385","0.005555995","0.846800000","0.339848000","0.182930500","0.157927500","0.291810000","0.020375450","0.023179700","0.112579500"
"NTG",9,"0.004651041","0.003706615","0.000000000","0.461587000","0.004192035","0.000654258","0.002241235","0.005595200","0.000000000","0.000910752","0.012109895","0.001988170","0.001083821","0.008305492","0.007401355","0.003391840","0.003486080","0.001859820","0.022736548","0.027251275","0.309913000","1.050341500","0.005773760","0.180123000","0.003326455","0.002866865","0.000555430","0.000406442","0.001045145","0.000000000","0.000805360","0.000000000","0.000000000","0.000761434","0.000656006","0.093194700","0.508090500","0.002838744","0.024293500","0.001656965","0.171617875","0.012753100","0.060888600","0.034160300","0.004581975","0.475681667","0.617451000","4.941116667","5.921445000","0.004026365","0.005135055","0.016057240","0.010945680","0.076950300","0.001121502","0.000169491","0.002500420","0.008521300","0.004431290","0.010843045","0.013671549","0.015237250","0.001335428","0.001691197","0.000232500","0.122459433","0.130795050","1.456769833","0.374058833","0.000000000","0.000551029","0.002921930","0.011324615","0.011731630","0.002432885","0.001364777","0.000000000","0.000542099","0.000000000","0.001794540","0.056071650","0.135152800","0.138441200","0.478037000","8.941472500","4.619731667","0.052549400","0.017983300","0.018607050","0.630544500","0.080462400","0.020165120","0.023502000","0.062310450","0.099312975","0.112338750","0.015063590","8.809430000","0.124961800","0.026777500","0.054926550","0.093302225","0.058575920","0.018192400","0.024981933","0.000000000","0.000292653","0.000000000","0.025318778","0.001536675","0.024594035","0.005286360","0.005329108","0.024596605","0.050024725","0.008045079","2.740600000","0.063213350","0.080311100","0.042915175","0.025262475","0.021539200","0.031739395","0.008797058","0.014312725","0.415147850","0.582389000","0.703729000","0.410019500","0.121770000","0.111992500","0.019350000","0.029100000","0.043900000"
"NTG",9,"0.0037205010","0.0009179350","0.0050637750","2.2268650000","0.0044657580","0.0010584250","0.0007620550","0.0000000000","0.0016300000","0.0000000000","0.0169193500","0.0007894300","0.0023162500","0.0056587200","0.0004450000","0.0082518450","0.1507095500","0.0069130500","0.0316650830","0.1157362630","0.2091665000","1.3499200000","0.0016198550","0.0391038500","0.0115477500","0.0046742100","0.0000659765","0.0016829800","0.0091260520","0.0000000000","0.0003080000","0.0000000000","0.0000000000","0.0015718780","0.0010290880","0.0883530000","0.7219160000","0.0011925350","0.0409409000","0.0008823560","0.3803235630","0.0118280750","0.0528285500","0.0243409000","0.0062212050","0.3896188330","1.1592757500","3.3551066670","2.5459183330","0.0075024000","0.0011609750","0.0015007750","0.0005401200","0.0495305500","0.0000000000","0.0017842600","0.0037046000","0.0082525300","0.0006444320","0.0096979550","0.0154976360","0.0020297450","0.0008979250","0.0017585300","0.0000000000","0.1346364000","0.1680331750","1.4958445000","0.2682475670","0.0000000000","0.0287269400","0.0006599350","0.0002180000","0.0076357200","0.0000000000","0.0022260500","0.0004235750","0.0019753600","0.0000000000","0.0003855000","0.0285554500","0.0400478250","0.0222983250","0.1337386250","0.9864702500","3.7241683330","0.0185318000","0.0180217400","0.0576147500","1.0763135000","0.0000000000","0.0112501570","0.0038288400","0.0139987280","0.0053687700","0.1267044000","0.0073540180","6.0072150000","0.0638043500","0.0068691800","0.0410796000","0.0038417380","0.0147155930","0.0199069600","0.0323534450","0.0164463500","0.0006491480","0.0007598610","0.0072640780","0.0008376250","0.0063647400","0.0001763270","0.0007974950","0.0030736800","0.0628386250","0.0011667440","3.1030400000","0.0549374000","0.0663598500","0.0021405680","0.0182076480","0.0257828750","0.0112813000","0.0002397060","0.0041675960","0.0000000000","0.5009555000","0.5659350000","0.2348320000","0.0821791500","0.5910545000","0.0185790650","0.0061257350","0.0850315000"
"NTG",9,"0.0136667850","0.0034899050","0.0000000000","8.3286700000","0.0200964500","0.0082282500","0.0019820650","0.0013563750","0.0000000000","0.0016391500","0.0214997500","0.0021221700","0.0012753100","0.0176483980","0.0144520500","0.0676985500","0.0647074900","0.0048926100","0.0410532500","0.0571283930","0.2222385000","0.9460120000","0.0034865650","0.0813640000","0.0100030500","0.0037105600","0.0000715445","0.0005854200","0.0098106630","0.0013593900","0.0063877400","0.0016697000","0.0000000000","0.0011799570","0.0004617880","0.0396187000","0.3745240000","0.0012132400","0.0153007500","0.0026632350","0.8867147500","0.1388395000","0.0199474000","0.0449979500","0.0144861000","0.2574320000","0.4569507500","3.7315983330","3.5515788330","0.2431230000","0.0018427990","0.0099212700","0.0364352500","0.0626088000","0.0010998500","0.0000000000","0.0008314040","0.0395561550","0.0009302370","0.0269260500","0.0396219990","0.0051079470","0.0540428800","0.0009250840","0.0004651060","0.0228279170","0.0247317000","0.9250843330","0.1901342330","0.0003948260","0.0005273750","0.0004903640","0.0025049050","0.0163153100","0.0009689150","0.0001785880","0.0006902540","0.0001355890","0.0004621200","0.0038168100","0.3096205000","0.1967807500","0.1479652500","0.3831665000","4.7047375000","3.0466566670","0.0082250000","0.0605500000","0.0645000000","1.8322522500","0.0000000000","0.0711846000","0.0092000000","0.0143778750","0.0139700000","0.1212673750","0.0139817000","8.4732000000","0.1116860000","0.0562000000","0.1289712500","0.0356967250","0.0157627500","0.0582990250","0.0405230170","0.0002410000","0.0011550000","0.0023950000","0.0198541800","0.0002845000","0.0081753590","0.0036400000","0.0006147500","0.0000000000","0.0549354500","0.0039497650","2.8346250000","0.0459000000","0.2682735000","0.0220558750","0.0298889500","0.0115165500","0.0522646750","0.0022922550","0.0067875100","0.0048487200","1.1272220000","0.5869545000","0.9027680000","0.0564792500","0.2589270000","0.0609414500","0.1173270000","0.0333847000"
"G20",9,"6.204725e-03","3.189811e-03","1.816295e-02","1.189580e+01","5.888255e-03","4.571700e-03","3.288801e-03","0.000000e+00","0.000000e+00","5.476705e-03","2.914955e-02","7.751005e-03","1.286335e-03","1.376840e-02","2.546905e-03","1.624698e-03","8.405805e-02","1.860910e-03","3.098504e-02","8.047141e-02","2.207975e-01","6.844460e-01","1.651175e-03","1.029556e-01","6.486435e-03","7.586117e-03","1.172407e-03","3.350355e-03","2.297200e-02","7.270450e-04","4.302775e-03","0.000000e+00","9.031700e-03","1.493653e-02","9.343020e-04","1.147945e-01","5.353235e-01","3.667330e-04","1.290843e-02","1.536235e-03","3.308597e-01","7.562480e-02","9.764685e-03","1.750665e-02","1.345427e-02","5.245970e-01","6.639192e-01","5.067865e+00","3.993188e+00","2.128930e-02","4.923147e-03","4.075900e-03","4.934840e-02","8.836370e-02","3.057580e-02","0.000000e+00","3.571510e-04","2.563313e-02","3.810103e-02","1.045405e-01","5.281258e-02","2.782420e-02","1.868071e-02","1.692665e-03","9.303960e-04","1.646268e-01","1.023981e-01","9.055603e-01","1.826828e-01","6.470620e-04","1.662895e-03","4.695450e-05","7.626230e-04","1.273510e-02","2.933092e-03","1.786090e-04","0.000000e+00","7.864455e-03","0.000000e+00","2.245178e-03","1.943540e-01","2.260645e-01","1.892283e-01","2.033157e-01","3.386430e+00","5.256833e+00","8.011400e-02","9.729855e-02","2.104845e-02","6.732552e-01","7.950000e-04","1.764009e-02","6.548650e-03","3.329854e-02","7.826450e-03","7.130372e-02","1.615244e-02","7.116895e+00","3.230370e-02","2.307755e-02","1.431020e-01","4.705227e-02","3.646108e-02","4.003555e-02","7.387510e-02","9.091155e-03","5.120500e-03","2.265000e-04","6.829075e-03","0.000000e+00","1.480457e-03","1.348330e-03","5.214230e-04","0.000000e+00","6.942200e-02","5.017400e-03","3.347600e+00","6.735460e-02","2.090310e-01","1.199408e-03","1.639193e-02","4.204330e-02","1.085030e-01","8.074300e-04","4.024570e-03","1.214755e-01","8.439175e-01","4.854425e-01","2.265395e-01","2.277925e-01","1.276245e-01","2.774600e-02","1.273905e-02","1.944730e-02"
"G20",9," 0.012796243"," 0.038227850"," 0.000000000","25.799250000"," 0.045074500"," 0.009109061"," 0.003626455"," 0.001782785"," 0.005998103"," 0.001040616"," 0.029327700"," 0.004843495"," 0.000977334"," 0.046690398"," 0.000694635"," 0.008694855"," 0.011497395"," 0.003503280"," 0.046507533"," 0.143635372"," 0.225141500"," 1.073825000"," 0.003431160"," 0.086558900"," 0.007191095"," 0.002869270"," 0.001667850"," 0.001392977"," 0.030006768"," 0.000904275"," 0.001582903"," 0.000000000"," 0.000000000"," 0.002969025"," 0.001978951"," 0.064766950"," 0.577639000"," 0.001403106"," 0.030522050"," 0.008848875"," 1.513288000"," 0.084429050"," 0.054666300"," 0.093036250"," 0.038664300"," 0.722252667"," 1.652742900"," 5.561645000"," 4.897040000"," 0.018999400"," 0.022050545"," 0.006528970"," 0.046521205"," 0.133922000"," 0.004397200"," 0.000251158"," 0.002349110"," 0.041969235"," 0.010532405"," 0.498742500"," 0.101575441"," 0.026363350"," 0.010020060"," 0.003897245"," 0.001120785"," 0.373668517"," 0.551531465"," 1.802123667"," 0.393469167"," 0.003871296"," 0.000924651"," 0.000624671"," 0.000656265"," 0.046378850"," 0.000921600"," 0.000000000"," 0.000000000"," 0.006385290"," 0.002238705"," 0.003218100"," 0.378962500"," 1.328444500"," 0.870236500"," 0.688368000"," 1.310870000"," 3.003119667"," 0.076474050"," 0.074297350"," 0.034211950"," 1.119215750"," 0.001737965"," 0.069978690"," 0.001635560"," 0.102131980"," 0.018729250"," 0.080360050"," 0.019869548"," 4.394650000"," 0.237992450"," 0.150702500"," 0.728914250"," 0.538099300"," 0.346711850"," 0.100469750"," 0.111647600"," 0.000418067"," 0.000402979"," 0.000110087"," 0.022724250"," 0.001506995"," 0.010121210"," 0.000417081"," 0.000809980"," 0.004174745"," 0.035716100"," 0.006386888"," 1.856675000"," 0.021560900"," 0.748518500"," 0.005494135"," 0.027400600"," 0.098080500"," 0.178972250"," 0.001889238"," 0.011200863"," 0.015337300"," 0.915383500"," 1.346195000"," 1.930465000"," 0.200065000"," 0.577568000"," 0.358652000"," 0.245712000"," 0.034087400"
"G20",9,"0.0152044700","0.0031181950","0.0014050000","7.3624300000","0.0059757200","0.0006190260","0.0009800660","0.0006267850","0.0003350000","0.0005710720","0.0100267450","0.0003963360","0.0006541480","0.0075437830","0.0013889700","0.0163198650","0.1970494450","0.0000000000","0.0335161320","0.0773698690","0.1833125000","0.8249070000","0.0047431500","0.0682690500","0.0038137350","0.0001429360","0.0000633665","0.0007442150","0.0176552500","0.0000000000","0.0000000000","0.0000000000","0.0005645500","0.0014787910","0.0003601620","0.0542856500","0.3525500000","0.0007170310","0.0487384000","0.0020181600","0.1631588000","0.0091110650","0.0195926000","0.0514330500","0.0086181100","0.6067713330","0.4306537500","3.5396983330","3.2636118330","0.0388231500","0.0023305050","0.0068890350","0.0463305600","0.0746968500","0.0047868250","0.0000000000","0.0026783600","0.0147629800","0.0101900150","0.0233837500","0.0082586090","0.0187972000","0.0071661400","0.0061946090","0.0000000000","0.2390992500","0.1400171750","1.5777808330","0.2591014000","0.0000000000","0.0008128100","0.0013592660","0.0058831550","0.0154070500","0.0015685510","0.0000000000","0.0009054000","0.0123416500","0.0033482000","0.0026912950","0.0151719700","0.0361478000","0.0565066250","0.1057215000","2.5330727500","3.4251850000","0.0457136500","0.0690037500","0.0477806000","0.6383372500","0.0000000000","0.0198004580","0.0009768030","0.0585614360","0.0227366150","0.0358987500","0.0019069580","7.2485400000","0.1412477500","0.0026916400","0.0283424400","0.0145321300","0.0033506130","0.1187214200","0.0503660230","0.0000000000","0.0000000000","0.0006141550","0.0095471750","0.0005839970","0.0031316140","0.0009225440","0.0010728480","0.0000000000","0.0482388500","0.0007186730","3.3720550000","0.0457781500","0.0997496750","0.0011345000","0.0144725000","0.0986815000","0.0303505750","0.0019383660","0.0057397430","0.0008813900","0.9313010000","0.7934115000","0.6725625000","0.0498729000","0.8726125000","0.0449023500","0.0368144500","0.0625781500"
"G20",9," 0.004994008"," 0.004699435"," 0.007878100","25.971500000"," 0.026660250"," 0.003063538"," 0.005493465"," 0.000000000"," 0.015785400"," 0.002265725"," 0.049382900"," 0.001246138"," 0.000978140"," 0.002054440"," 0.004322375"," 0.022970775"," 0.014306155"," 0.001062575"," 0.055393317"," 0.094222851"," 0.174071500"," 0.837917000"," 0.003037000"," 0.121198450"," 0.004882305"," 0.004700025"," 0.000669530"," 0.000973645"," 0.010957904"," 0.000347756"," 0.009715145"," 0.000000000"," 0.000000000"," 0.002156250"," 0.000710556"," 0.112579400"," 0.526813000"," 0.001451195"," 0.029224700"," 0.002711235"," 0.725176713"," 0.005661545"," 0.008800560"," 0.012765355"," 0.005245555"," 0.642681833"," 0.440098250"," 5.636271667"," 3.910343333"," 0.058683950"," 0.004886620"," 0.008287085"," 0.114691000"," 0.147928000"," 0.001930920"," 0.003297400"," 0.008680800"," 0.016065850"," 0.001950330"," 0.135235500"," 0.081598716"," 0.005179150"," 0.004077870"," 0.002175000"," 0.000373000"," 0.248872550"," 0.251173625"," 1.942577000"," 0.473207667"," 0.000000000"," 0.016744350"," 0.001089700"," 0.016911250"," 0.021057000"," 0.000000000"," 0.000000000"," 0.000289500"," 0.000192075"," 0.000560000"," 0.000000000"," 0.025162350"," 0.029687075"," 0.122118975"," 0.184864800"," 2.070348250"," 3.359663333"," 0.149923000"," 0.069006350"," 0.248485500"," 0.900432500"," 0.001447159"," 0.025491367"," 0.004118870"," 0.047220800"," 0.086343295"," 0.308881400"," 0.035366003"," 9.646385000"," 0.065668550"," 0.009333460"," 0.009519595"," 0.041053555"," 0.047563775"," 0.256448575"," 0.090643633"," 0.001371560"," 0.002493445"," 0.003086185"," 0.023509663"," 0.002197115"," 0.019279320"," 0.003775620"," 0.001852315"," 0.000000000"," 0.086139950"," 0.001104059"," 2.971130000"," 0.030519670"," 0.056512275"," 0.014887223"," 0.024456088"," 0.014007100"," 0.040786850"," 0.002050461"," 0.005592323"," 0.000851901"," 1.138405000"," 0.701133500"," 0.334996000"," 0.119800400"," 0.576820500"," 0.079315850"," 0.027491200"," 0.087909550"
